File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminDishEditModelController.kt,AdminDishEditModelController(private val viewController: AdminDishEditViewControllerInterface),23,20,8,3,3,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminDishesOverviewModelController.kt,AdminDishesOverviewModelController(private val viewController: AdminDishesOverviewViewControllerInterface),9,8,4,0,1,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminUserCreateModelController.kt,AdminUserCreateModelController(private val viewController: AdminUserCreateViewControllerInterface),8,8,4,1,0,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminUserEditModelController.kt,AdminUserEditModelController(private val viewController: AdminUserEditViewControllerInterface),14,13,5,2,1,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminUsersOverviewModelController.kt,AdminUsersOverviewModelController(private val viewController: AdminUsersOverviewViewControllerInterface),8,8,4,0,0,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AuthenticationBusinessLoginModelController.kt,AuthenticationBusinessLoginModelController(private val viewController: AuthenticationBusinessLoginViewControllerInterface),11,6,3,0,2,0,3,6,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AuthenticationBusinessRegisterModelController.kt,AuthenticationBusinessRegisterModelController(private val viewController: AuthenticationBusinessRegisterViewControllerInterface),31,31,8,3,0,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\GeneralChooseAccountModelController.kt,GeneralChooseAccountModelController(private val viewController: GeneralChooseAccountViewControllerInterface),18,17,8,0,1,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\GeneralMenuDishesModelController.kt,GeneralMenuDishesModelController(private val viewController: GeneralMenuDishesViewControllerInterface),8,8,4,0,0,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\KitchenBarActiveDishesModelController.kt,KitchenBarActiveDishesModelController(private val viewController: KitchenBarActiveDishesViewControllerInterface),51,49,17,4,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\KitchenBarActiveOrdersModelController.kt,KitchenBarActiveOrdersModelController(private val viewController: KitchenBarActiveOrdersViewControllerInterface),64,59,22,5,2,0,3,31,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\KitchenBarArchivedDishesModelController.kt,KitchenBarArchivedDishesModelController(private val viewController: KitchenBarArchivedDishesViewControllerInterface),25,23,10,2,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\KitchenBarArchivedOrdersModelController.kt,KitchenBarArchivedOrdersModelController(private val viewController: KitchenBarArchivedOrdersViewControllerInterface),32,29,12,2,2,0,1,14,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceAddDishesToOrderModelController.kt,ServiceAddDishesToOrderModelController(private val viewController: ServiceAddDishesToOrderViewControllerInterface?),12,10,5,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceAlreadyOrderedDishesModelController.kt,ServiceAlreadyOrderedDishesModelController(private val viewController: ServiceAlreadyOrderedDishesViewControllerInterface),24,22,10,1,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceCreateOrderModelController.kt,ServiceCreateOrderModelController(private val viewController: ServiceCreateOrderViewControllerInterface),30,28,9,3,1,0,1,12,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceDashboardModelController.kt,ServiceDashboardModelController(private val viewController: ServiceDashboardViewControllerInterface?),34,30,12,1,4,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceOrderedDishesOverviewModelController.kt,ServiceOrderedDishesOverviewModelController(private val viewController: ServiceOrderedDishesOverviewViewControllerInterface),27,25,9,4,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServicePaymentModelController.kt,ServicePaymentModelController(private val viewController: ServicePaymentViewControllerInterface),36,33,13,2,3,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\view\GeneralUserLoginViewController.kt,GeneralUserLoginViewController(private val activity: GeneralUserLoginActivity),76,62,14,2,13,0,1,1,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\model\DishesType.kt,DishesType(val rawValue: String),9,8,4,0,1,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\model\OrderDishesStatus.kt,OrderDishesStatus(val rawValue: String),8,7,4,0,1,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\model\UserRole.kt,UserRole(val rawValue: String),10,8,4,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\AdminDashboardActivity.kt,Activity(),74,59,10,0,15,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\AdminDishEditActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\AdminDishesOverviewActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\AdminUserCreateActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\AdminUserEditActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\AdminUsersOverviewActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\AuthenticationBusinessLoginActivity.kt,AppCompatActivity(),18,14,4,0,4,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\AuthenticationBusinessRegisterActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\GeneralChooseAccountActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\GeneralMenuDishesActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\GeneralMenuSelectionActivity.kt,Activity(),61,50,7,0,11,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\GeneralUserLoginActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\KitchenBarActiveDishesActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\KitchenBarActiveOrdersActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\KitchenBarArchivedDishesActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\KitchenBarArchivedOrdersActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\KitchenBarDashboardActivity.kt,Activity(),45,35,8,1,10,1,0,1,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServiceAlreadyOrderedDishesActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServiceCreateOrderActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServiceDashboardActivity.kt,Activity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServiceOrderedDishesOverviewActivity.kt,Activity(),21,18,6,2,3,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServicePaymentActivity.kt,AppCompatActivity(),9,7,2,0,2,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\AdminDishesEditAdapter.kt,"ArrayAdapter<Dish>(context, ressource, dishes)",26,21,4,2,5,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\AdminUsersOverviewAdapter.kt,"ArrayAdapter<User>(context, resource, users)",29,23,5,2,6,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\GeneralChooseAccountAdapter.kt,"ArrayAdapter<User>(context, ressource, users)",56,47,12,3,9,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\GeneralMenuDishesAdapter.kt,"ArrayAdapter<Dish>(context, ressource, dishes)",19,14,3,2,5,0,0,0,
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\KitchenBarActiveDishesAdapter.kt,"ArrayAdapter<OrderedDishesHelper>(context, ressource, orders)",21,16,4,2,5,0,0,0,
